en-CA,fr-CA
Long Espresso,M Latte Sirop ***
LOVE CANADA TUMBLER,M Latte Sirop R ***
Love Mug,M Latte ss ***
Lrg Americano,M Latte vanille ss ***
Lrg Apple Juice,M LF à la fraise ML
Lrg Barq's Root Beer,M LF à la vanille ML
Lrg Bergamia Grey Tea,M LF au chocolat ML
Lrg Blueberry Pomegranate Real Fruit Smoothie,M LF chocolat
Lrg Cappuccino (2% Milk),M LF fraise
Lrg Cappuccino (Almond Milk),M LF vanille
Lrg Caramel Cream Cold Brew,M Moka ***
Lrg Caramel Iced Coffee,M Moka menthe ***
Lrg Caramel Latte (2% Milk),M Smo bleuet
Lrg Caramel Latte (Almond milk),M Smo mangue
Lrg Caramel Latte (Almond Milk),M Smooth bleuet ML
Lrg Chai Cardamom Tea Latte (2% Milk),M Smooth mangue ML
Lrg Chai Cardamom Tea Latte (Almond Milk),M Thé Earl Grey
Lrg Chai Glow Tea,M Thé pekoe
Lrg Chocolate Hazelnut Iced Latte (2% Milk),M Thé vert
Lrg Chocolate Hazelnut Latte (2% Milk),Macpoulet
Lrg Chocolate Triple Thick Milkshake,MacPoulet
Lrg Coca-Cola,MacPoulet épicé avec habanero
Lrg Coffee,MacPoulet et Côte
Lrg Coffee Frappé,Make it a Meal
Lrg Coffee Frappé w/ Whipped Cream & Choc Drizzle,Margarine
Lrg Coffee Refill,Margarine avec couteau
Lrg Coke Zero,Masques
Lrg Cold Brew,McCafe
Lrg Cold Brew with Sugar-Free Syrup & Cream,McCafé Latte
Lrg Decaf Coffee,McCôte
Lrg Decaf Coffee Refill,McCrêpes
Lrg Diet Coke,McCrêpes  avec œuf et fromage
Lrg Earl Grey Tea,McCrêpes avec œuf et fromage
Lrg French Vanilla Cream Cold Brew,McCrêpes avec œuf et fromage
Lrg French Vanilla Latte  (2% Milk),McCrêpes Suprême
Lrg French Vanilla Latte (Almond milk),McCroquettes
Lrg French Vanilla Latte (Almond Milk),McCroustillant
Lrg Fries,McCroustillant avec sauce orig
Lrg Fruitopia Orange,McCroustillant avec sauce originale Frank's RedHot
Lrg Fruitopia Strawberry,McCroustillant de luxe avec ba
Lrg Fuze Iced Tea,McCroustillant de luxe avec bacon
Lrg Green Tea,McCroustillant de luxe avec bacon épicé
Lrg Hot Chocolate (2% Milk),McCroustillant de luxe bac sce
Lrg Hot Chocolate (Almond Milk),McCroustillant de luxe bac sce orig Frank's RedHot
Lrg Iced Coffee,McCroustillant épicé
Lrg Iced Coffee with sugar free syrup,McCroustillant épicé
Lrg Iced Latte (2% Milk),McCroustillant épicé de luxe avec bacon
Lrg Iced Latte (Almond Milk),McCroustillant épicé dlx baco
Lrg Iced Matcha Tea Latte (2% Milk),McDo BLT
Lrg Iced Matcha Tea Latte (Almond Milk),McDouble
Lrg Iced Mocha (2% Milk),McÉpicé
Lrg Iced Mocha (Almond Milk),McFlurry
Lrg Latte  (2% Milk),McFlurry caramel salé
Lrg Latte (Almond milk),"McFlurry caramel salé, format classique"
Lrg Latte (Almond Milk),"McFlurry caramel salé, format collation"
Lrg Latte with sugar free syrup (2% Milk),McFlurry Gâteau au fromage et caramel
Lrg Latte with sugar free syrup (Almond Milk),McFlurry Gâteau au fromage et chocolat fondant
Lrg Lemon Fruit Splash,McFlurry Gâteau au fromage et Oreo
Lrg Lemongrass Green Tea,McFlurry Oreo
Lrg London Fog Tea Latte (2% Milk),McFlurry Skor
Lrg London Fog Tea Latte (Almond Milk),McFlurry Smarties
Lrg Mango Pineapple Real Fruit Smoothie,McMuffin avec œuf et fromage
Lrg Matcha Tea Latte (2% Milk),McMuffin BLT avec oeuf
Lrg Matcha Tea Latte (Almond Milk),"McMuffin et P café X,XX$"
Lrg McCafé Mocha (2% Milk),McMuffin et petit café
Lrg Mocha (2% Milk),McMuffin Suprême
Lrg Nite Sprite,McPops
Lrg Oat Iced Coffee,McPops au chocolat blanc
Lrg Orange Juice,McPops aux baies
Lrg Orange Pekoe Tea,McVégé
Lrg Peppermint Tea,McVégé avec Frank’s RedHot
Lrg Premium Roast Coffee,McVégé avec sauce originale Frank’s RedHot
Lrg Premium Roast Decaf Coffee,McVégé de luxe
Lrg Roaring Black Tea,McVégé épicé
Lrg Senior Orange Pekoe Tea,McVégé épicé de luxe
Lrg Senior Peppermint Tea,McVégé et wraps
Lrg Senior's Coffee,McVeggie
Lrg Shamrock Shake,McWrap bacon et poulet grillé
Lrg Sprite,McWrap bacon poulet grillé
Lrg Strawberry Banana Smoothie,McWrap cajun et poulet grillé
Lrg Strawberry Triple Thick Milkshake,McWrap cajun poulet grillé
Lrg Sweetened Cold Brew with Cream,McWrap césar et poulet grillé
Lrg Sweetened Cold Brew with Oat Beverage,McWrap césar poulet grillé
Lrg Vanilla Chai Frappé,McWrap Chili doux
Lrg Vanilla Iced Coffee,McWrap Chili doux
Lrg Vanilla Triple Thick Milkshake,McWrap Chili doux avec poulet croustillant
Lrg Watermelon Lime Fruit Splash,McWrap Chili doux avec poulet grillé
LTO Sauce 1,McWrap chipotle crémeuse
LTO Sauce 2,McWrap Lime vivifiante
Lunch & Dinner Menu,McWrap poulet croustillant et sauce chipotle crémeuse
M  Hot Choc ***,McWrap Poulet et bacon
M Apple Juice,McWrap Poulet et bacon avec poulet croustillant
M Cap ***,McWrap Poulet et bacon avec poulet grillé
M Cap Syrup ***,McWrap poulet grillé et sauce chipotle crémeuse
M Cappuccino ***,McWrap sauce Ranch à l’avocat
M Cappuccino Syrup ***,McWrap sauce Ranch à l’avocat crémeuse
M Caramel Choc Latte ***,McWrap sauce Ranch à l’avocat crémeuse avec poulet croustill
M Caramel Choc Mocha ***,McWrap sauce ranch cajun
M Caramel Latte ***,McWrap sauce ranch cajun
M Chai Latte ***,McWrap Signature bacon et poulet grillé
M Choc Chip Lat ***,McWrap Signature cajun et poulet grillé
M Hot Choc  ***,McWrap Signature césar et poulet grillé
M Hot Choc ***,Medium Cup
M Hot Choc Mint ***,Medium Moka (lait 2%)
M Hot Chocolate ***,Mélange aux légumes
M Hot Water,Mélange Burritos
M Hot Wht Choc ***,Mélange de fruits
M Ice Latte ***,Menthe poivrée
M Iced Matcha Latte ***,Menthe poivrée aînés
M Lat Caramel ***,Menu de nuit
M Lat Chc Chp ***,Menu du déjeuner
M Lat Cml Choc ***,Menu du dîner/souper
M Lat M. Caramel ***,Menu Frank's RedHot
M Lat M. Caramel***,Menu McValeur
M Lat M. Crml ***,Miel
M Lat Pump ***,Mini
M Lat Pumpkin Crml ***,Mini Potato Hash Browns
M Lat SF ***,Mini-cornet à la vanille
M Lat Syrup ***,MiW Hasbro
M Latte ***,MiW Softserve
M Latte Cml Choc ***,Moitié boisson à l'avoine
M Latte Pumpkin ***,Moitié sirop
M Latte Syrup ***,Moka
M Lndn Fog Latte ***,Moka  (lait 2%)
M Matcha Latte ***,Moka (lait 2%)
M Matcha Tea Latte ***,Moka (lait aux amandes)
M Mint Latte ***,Moka glacé
M Mint Latte L ***,"Moka, format moyen (lait aux amandes)"
M Mint Latte R ***,"Moka, grand format (lait aux amandes)"
M Mint Latte R***,"Moka, petit format (lait aux amandes)"
M Mocha ***,Monterey Jack
M Mocha Cml Choc ***,Morceaux de gâteau au fromage
M Mocha Mint ***,Morceaux Nanaimo
M Mocha White Choc ***,Morceaux Reese's
M Orange Juice,Morceaux Smarties
M Sugar Free Latte ***,Mousse
M Van Latte ***,Moutarde
M Water,Moutarde à l’érable
Make it a meal,Moutarde de dijon crémeuse
Make it a Meal,Moyen
Make It a Meal,Moyen americano
Mango Pineapple Real Fruit Smoothie,Moyen café
Mango Pineapple Smoothie,Moyen Café frappé
Mango Smoothie,Moyen café glacé
Map Mug,Moyen café glacé à la vanille
Maple & Cheddar Chkn ***,Moyen café glacé au caramel
Maple & Cheddar Chkn EVM ***,Moyen café glacé avec boisson à l'avoine
Maple Leaf Cup,Moyen café glacé avec sirop sans sucre
Maple Leaf Tumblr,Moyen Café glacé avec sirop sans sucre
Maple Mustard Sauce,Moyen café infusé
Maple Syrup,Moyen café infusé à froid
Margarine,Moyen café infusé à froid avec sirop sans sucre et crème
Margarine with knife,Moyen café infusé à froid caramel et crème
Mask,Moyen café infusé à froid sucré avec crème
Matcha Tea Latte (2% Milk),Moyen café infusé à froid sucré/avoine
Matcha Tea Latte (Almond Milk),Moyen café infusé à froid vanille française et crème
Mayo Chicken Snack Wrap with Grilled Chicken,Moyen café infusé aînés
Mayo Grilled Snack Wrap,Moyen café infusé décaféiné
Mayo Snack Wrap with Grilled Chicken,Moyen café infusé décaféiné aînés
Mayo-Style Sauce,Moyen café infusé décaféiné Remplir nouveau
Mayo-Style Sauce Packet,Moyen café infusé Remplir nouveau
MCafe Upchrg,Moyen cappuccino (lait 2%)
McCafé Chocolate Syrup,Moyen cappuccino (lait d'amande)
McCafé Coupon,Moyen Chai frappé à la vanille
McCafé Especialty,Moyen Chocolat chaud  (lait 2%)
McCafé Hot Beverage,Moyen Coca-Cola
McCafé Hot Espresso,Moyen Coca-Cola Zero
McCafé Hot Speciality,Moyen Coke
McCafé Latte,Moyen Coke Diète
McCafé Mocha (2% Milk),Moyen frites
McCafe Mug,Moyen Frites
McCafe Upcharge,Moyen Fruitopia fraises
McChicken,Moyen Fruitopia orange
McChicken & Side Deal,Moyen jus d'orange
McChicken Extra Value Meal,Moyen jus de pomme
McCrispy,Moyen lait ultra-frappé à la fraise
McCrispy Extra Value Meal,Moyen lait ultra-frappé à la vanille
McDouble,Moyen lait ultra-frappé au chocolat
McDouble (DLM),Moyen latte (lait 2%)
McDouble (like Mac),Moyen latte (lait d'amande)
McDouble McValue Meal,Moyen latte à la vanille française (lait 2%)
McDouble Meal Deal,Moyen Latte à la vanille française (lait 2%)
McFlurry,Moyen Latte à la vanille française (lait d'amande)
McFlurry Toppings,Moyen latte à thé London fog (lait sans lactose)
McGriddle,Moyen latte au thé matcha (lait 2%)
McGriddles,Moyen latte avec sirop sans sucre (lait 2%)
McGriddles Sandwiches,Moyen latte avec sirop sans sucre (lait aux amandes)
McMuffin & S Coffee offer,Moyen latte avec sirop sans sucre (lait d'amande)
McMuffin & S Coffee Offer,Moyen latte caramel (lait 2%)
McMuffin Sandwich,Moyen latte caramel (lait d'amande)
McMuffin Sandwiches,Moyen latte glacé (lait 2%)
McNugget Sauces,Moyen Latte glacé (lait amande)
McNuggets,Moyen latte glacé au matcha (lait 2%)
McPops,Moyen latte glacé matcha (lait amande)
McRib,Moyen menthe poivrée
McSpicy,Moyen Moka (lait 2%)
McValue Meals,Moyen moka glacé
McValue Menu,Moyen Racinette Barq's
McVeggie,Moyen smoothie fraises-banane
McVeggie & Wraps,Moyen smoothie grenade-bleuets
McVeggie Deluxe,Moyen smoothie mangue-ananas
McVeggie Deluxe Extra Value Meal,Moyen Splash fraîcheur au citron
McVeggie Extra Value Meal,Moyen Splash fraîcheur au melon d’eau et à la lime
McWrap,Moyen Sprite
McWrap Bacon ***,Moyen Sprite nocturne
McWrap Chili ***,Moyen thé à la menthe poivrée
McWrp Bacon ***,Moyen thé à la menthe poivrée aînés
McWrp Chili ***,Moyen thé bergamia gris
McWRP SRSLY BACON***,Moyen thé chai éclat
Meal Deal,Moyen thé Earl Grey
Meal with a side,Moyen thé earl grey aînés
Meat Patty,Moyen Thé glacé Fuze
Med Americano,Moyen thé menthe poivrée aînés
Med Americano Coffee,Moyen thé orange pekoe
Med Apple Juice,Moyen thé Orange Pekoe
Med Barq's Root Beer,Moyen thé orange pekoe aînés
Med Bergamia Grey Tea,Moyen thé rugissement noir
Med Blueberry Pomegranate Real Fruit Smoothie,Moyen thé vert
Med Blueberry Pomegranate Smoothie,Moyen thé vert à la citronnelle
Med Cappuccino (2% Milk),Moyen thé vert aînés
Med Cappuccino (Almond Milk),MoyenChocolat chaud  (lait 2%)
Med Caramel Cream Cold Brew,Muesli
Med Caramel Iced Coffee,Muffin anglais
Med Caramel Latte (2% Milk),Muffin anglais avec beurre
Med Caramel Latte (Almond milk),Muffin aux bananes et aux morceaux de chocolat
Med Caramel Latte (Almond Milk),Muffin aux pépites de chocolat
Med CaramelLatte (2% Milk),Muffin aux pépites de chocolat
Med Chai Cardamom Tea Latte (2% Milk),Muffin bananes morceaux choco
Med Chai Cardamom Tea Latte (Almond Milk),Muffin bleuets
Med Chai Glow Tea,Muffin Brownie au Chocolat
Med Chocolate Hazelnut Iced Latte (2% Milk),Muffin canneberges et orange
Med Chocolate Hazelnut Latte (2% Milk),Muffin carottes
Med Chocolate Triple Thick Milkshake,Muffin fruits et fibres
Med Coca-Cola,Muffins
Med Coffee,Muffins cuits au four
Med Coffee Frappé,Nature
Med Coffee Frappé w/ Whipped Cream & Choc Drizzle,NB Softserve
Med Coffee Refill,Noir
Med Coke Zero,Oe bac crêp rôt bla
Med Cold Brew,Oe bac crêp rôt blé
Med Cold Brew with Sugar-Free Syrup & Cream,Oeuf frit
Med Decaf Coffee,Œuf frit
Med Decaf Coffee Refill,Oeuf McMuf PHB
Med Diet Coke,Oeuf McMuffin
Med Earl Grey Tea,Œuf McMuffin
Med French Vanilla Cream Cold Brew,Oeuf McMuffin avec bacon et Patates hachées brunes duo
Med French Vanilla Latte (2% Milk),Oeuf McMuffin avec saucisse et Patates hachées brunes duo
Med French Vanilla Latte (Almond milk),Oeuf McMuffin BLT
Med French Vanilla Latte (Almond Milk),Oeuf McMuffin et Patates hachées brunes duo
Med Fries,Oeuf McMuffin et PHB
Med Fruitopia Orange,Oeuf McMuffin et phb duo
Med Fruitopia Strawberry,Oeuf McMuffin sauc et phb duo
Med Fuze Iced Tea,Œuf McMuffin sauce à l’ail sty
Med Green Tea,Œuf McMuffin sauce à l’ail style Frank’s
Med Hot Chocolate (2% Milk),Œuf rond
Med Hot Chocolate (Almond Milk),Offre 1 trio
Med Iced Coffee,Offre 2 trios
Med Iced Coffee with sugar free syrup,Offre de 2 sandwichs Oeuf McMu
Med Iced Latte (2% Milk),Offre de 2 sandwichs Oeuf McMuffin
Med Iced Latte (Almond Milk),Offre de 3 H-Fromage ou hambur
Med Iced Matcha Tea Latte (2% Milk),Offre de 3 H-Fromage ou hamburgers
Med Iced Matcha Tea Latte (Almond Milk),Oign grillé lamelle
Med Iced Mocha (2% Milk),Oignons
Med Iced Mocha (almond milk),Oignons caramélisés
Med Latte (2% Milk),Oignons croustillants
Med Latte (Almond milk),Oignons verts
Med Latte (Almond Milk),OMRM Livre de Coupons
Med Latte with sugar free syrup (2% Milk),Optez pour un trio
Med Latte with sugar free syrup (Almond Milk),Optez pour un Trio
Med Lemon Fruit Splash,Optez pour unTrio
Med Lemongrass Green Tea,Ordinaire
Med London Fog Tea Latte (2% Milk),Oreo
Med London Fog Tea Latte (Almond Milk),P Café décaf infusé
Med Mango Pineapple Real Fruit Smoothie,P Café frappé + crème fouettée + coulis au choc.
Med Mango Smoothie,P Capp sirop ***
Med Matcha Tea Latte (2% Milk),P Cappuccino ***
Med Matcha Tea Latte (Almond Milk),P Cappuccino Sirop ***
Med McCafé Mocha (2% Milk),P Cappuccino Sirop R ***
Med Mocha (2% Milk),P Chai frappé van. + cr. fouettée + coulis au choc.
Med Mocha (Almond Milk),P Choc ch ment ***
Med Mocha(2% Milk),P chocolat chaud ***
Med Nite Sprite,P Coke
Med Oat Iced Coffee,P Déca infusé
Med Orange Juice,P Eau chaude
Med Orange Pekoe Tea,P Eau froide
Med Peppermint Tea,P Frites
Med Premium Roast Coffee,P Jus d'orange
Med Premium Roast Decaf Coffee,P Jus de pomme
Med Roaring Black Tea,P Lat M. Car ***
Med Senior Orange Pekoe Tea,P Lat M. Crml ***
Med Senior Peppermint Tea,P Lat pép choc ***
Med Shamrock Shake,P Latte
Med Sprite,P Latte ***
Med Strawberry Banana Smoothie,P Latte au chocolat et à la noisette (lait 2 %)
Med Strawberry Triple Thick Milkshake,P Latte glacé ***
Med Sweetened Cold Brew with Cream,P Latte glacé au chocolat et à la noisette (lait 2 %)
Med Sweetened Cold Brew with Oat Beverage,P Latte glacé R ***
Med Vanilla Chai Frappé,P Latte M. Caramel ***
Med Vanilla Iced Coffee,P Latte menthe ***
Med Vanilla Triple Thick Milkshake,P Latte pép choc ***
Med Watermelon Lime Fruit Splash,P Latte sirop ***
Mediterranean Feta Sauce,P Latte Sirop ***
Medium,P Latte SS
Medium Cappuccino (Almond Milk),P Latte ss ***
Medium Chocolate Shake,P LF à la fraise ML
Medium Clear Cup,P LF à la vanille ML
Medium Coffee,P LF au chocolat ML
Medium Coke,P LF chocolat
Medium Cup,P LF fraise
Medium Cup FS,P LF vanille
Medium Decaf Coffee,P Moka ***
Medium Earl Grey,P Moka glacé ***
Medium French Fries,P Moka menthe ***
Medium French Vanilla Latte (2% milk),P Mokaccino
Medium Fries,P Thé Earl Grey
medium fry,P Thé pekoe
Medium Green Tea,P Thé vert
Medium Orange Pekoe Tea,P’tits beignes
Medium Peppermint Tea,Paille
Medium Senior's Coffee,Paille flexible
Medium Senior's Decaf Coffee,Pailles
Medium Senior's Earl Grey Tea,Pains-crêpes
Medium Senior's Green Tea,Panier café moulu
Medium Senior's Orange Pekoe Tea,Parmesan râpé
Medium Senior's Peppermint Tea,Pas de sac
Medium Soft Drinks,Pas maintenant
Medium Strawberry Shake,Pat hach brunes
Medium Vanilla Shake,Patates hach brunes
MediumSoft Drinks,Patates hachées brunes
Melon Trio,Patates hachées brunes et café
Mgrn Bgl w/ Sprd VM ***,Pâté de boeuf
Mgrn Bgl w/Sprd VM ***,Pâté de bœuf
Mighty McGriddles,Pâté de saucisse
Mighty McGriddles Extra Value Meal,Pâté poulet gril
Mighty McMuffin,Pâté Végé
Mighty McMuffin Extra Value Meal,Pâtisseries
Milk,Pâtisseries et desserts
Milk 250mL,Petit
Milk Bottle,Petit americano
Milk Deposit,Petit café frappé
Milk Packet,Petit Café frappé
Milk Type,Petit café glacé
Milkshakes,Petit café glacé à la vanille
Mini,Petit café glacé au caramel
Mini Baguette Bun,Petit café glacé avec boisson à l'avoine
Mini Fries,Petit café glacé avec sirop sans sucre
Mini Potato Hash Browns,Petit Café glacé avec sirop sans sucre
MiW Hasbro,Petit café infusé
MiW Softserve,Petit Café infusé
Mixed Greens,Petit café infusé à froid
Mocha,Petit café infusé à froid avec sirop sans sucre et crème
Mocha (2% Milk),Petit café infusé à froid caramel et crème
Mocha (Almond Milk),Petit café infusé à froid sucré avec crème
Monterey Jack Jalapeno,Petit café infusé à froid sucré/avoine
Moose Mug,Petit café infusé à froid vanille française et crème
Moose Stainless Cup,Petit café infusé aînés
More Burgers,Petit café infusé décaféiné
More Chicken,Petit café infusé décaféiné aînés
More Snacks,Petit café infusé décaféiné Remplir nouveau
More Snacks & Sides,Petit café infusé Remplir nouveau
Mozzarella Cheese,Petit cappuccino (lait 2%)
Muffin & Coffee Pairing,Petit Cappuccino (lait d'amande)
Mustard,Petit Chai frappé à la vanille
Nacho Cheese Sauce,Petit chocolat chaud
Nanaimo Crumbs,Petit Chocolat chaud (lait 2%)
Napkins,Petit Coca-Cola
Natural Cheddar,Petit Coca-Cola Zero
NB Softserve,Petit Coke
NESTEA Iced Tea,Petit Coke Diète
NHL Star Sticks,Petit Fries
NHL Star Sticks - Add to order,Petit Frites
Nite Sprite,Petit Fruitopia fraises
No Accessories,Petit Fruitopia orange
No Aioli Sauce,Petit glacée moka
No bag,Petit glacée moka (lait d'amande)
No Bag,Petit jus d'orange
No Cold Lid,Petit jus de pomme
No Ice,Petit lait ultra-frappé à la fraise
No Jam,Petit lait ultra-frappé à la vanille
No Ketchup Packets,Petit lait ultra-frappé au chocolat
No Meat,Petit latte (lait 2%)
No Salad Dressing,Petit latte (lait d'amande)
No Sauce,Petit latte à la caramel (lait 2%)
No Straw,Petit latte à la crème brûlée (lait 2%)
No Tartar Dip,Petit latte à la vanille française (lait 2%)
No Toy,Petit Latte à la vanille française (lait 2%)
No Utensils,Petit Latte à la vanille française (lait d'amande)
No Whipped Cream,Petit latte à thé chai cardamome (lait 2%)
Not This Time,Petit latte à thé chai cardamome (lait écrémé)
Nugget Sauce,Petit latte à thé London fog (lait 2%)
Oat Beverage,Petit latte au caramel (lait 2%)
Oat Iced Coffee,Petit latte au thé matcha (lait 2%)
On The Side,Petit latte avec sirop sans sucre (lait 2%)
Onion Crisps,Petit latte avec sirop sans sucre (lait aux amandes)
Onions,Petit latte avec sirop sans sucre (lait d'amande)
OR - Food,Petit latte caramel (lait d'amande)
OR - Fundraising,Petit latte citrouille (lait 2%)
OR - Grease,Petit latte glacé (lait 2%)
OR - McHappy Day,Petit Latte glacé (lait amande)
OR - Miscellaneous,Petit latte glacé au matcha (lait 2%)
OR - Orange,Petit latte glacé matcha (lait amande)
OR - Paper,Petit menthe poivrée
OR - Pay for Play,Petit Moka (lait 2%)
OR - Remit Credit Sales,Petit Moka glacé
OR - US Exchange,Petit pain
OR - Vending (ONT),Petit pain aux graines de sésa
OR - Vending (QC),Petit pain aux graines de sésame blanches et noires
OR - Vending MDSE,Petit pain aux graines de sésame et de pavot
Orange Juice,Petit pain aux graines de sésame scarifié
Orange Pekoe Tea,Petit pain aux pommes de terre
Orange Vitamin Water,Petit pain campagnard
Order Complete,Petit pain graines de sésame
Oreo Cheesecake McFlurry,Petit Racinette Barq's
Oreo McFlurry,Petit smoothie fraises-banane
Oreo Pieces,Petit smoothie grenade-bleuets
Original Hummus,Petit smoothie mangue-ananas
Ornaments Holiday Mug,Petit Splash fraîcheur au citron
Ornaments Mug,Petit Splash fraîcheur au melon d’eau et à la lime
Other Cold Drinks,Petit Sprite
Other Condiments,Petit Sprite nocturne
Other Drinks,Petit thé à la menthe poivrée
Other Hot Drinks,Petit thé à la menthe poivrée aînés
Other Receipts,Petit thé bergamia gris
Overnight Menu,Petit thé chai éclat
Own Cup,Petit thé Earl Grey
Own Cup Bergamia Grey Tea,Petit thé earl grey aînés
Own Cup Decaf Coffee,Petit Thé glacé Fuze
Own Cup Earl Grey Tea,Petit thé menthe poivrée aînés
Own Cup Green Tea,Petit thé orange pekoe
Own Cup New Orange Pekoe Tea,Petit thé Orange Pekoe
Own Cup Orange Pekoe Tea,Petit thé orange pekoe aînés
Own Cup Peppermint Tea,Petit thé rugissement noir
Own Cup Premium Roast Brewed Coffee,Petit thé vert
Own Cup Senior Earl Grey Tea,Petit thé vert à la citronnelle
Own Cup Senior Green Tea,Petit thé vert aînés
Own Cup Senior Orange Pekoe Tea,Petites salades
Own Cup Senior Peppermint Tea,Petites salades/Wraps
Pad Thai Salad,Pichet de lait d'amande
Pairing with Soup,Placeholder 1
Parmesan Cheese,Placeholder 1114
Party Charge,Placeholder 1199
Peach Mango Syrup,Placeholder 1262
Peanut Butter,Placeholder 1266
Peanut butter with knife,Placeholder 2
Pepper Packet,Placeholder 3
Peppermint Tea,Placeholder 4
Pick Your Own 2 McPops,Placeholder 5
Pick Your Own 6 Baked Muffins,Placeholder 6
Pick Your Own 6 McPops,Placeholder 7
Pick Your Own 6 Muffins,Placeholder 8
Pickles,Placeholder 9
Pie,Placeholder Sub 1
Pine Branch Mug,Placeholder Sub 2
Pitcher Almond Milk,Placeholder Sub 3
Placeholder 1,Plateu boisson
Placeholder 1114,Poisson
Placeholder 1199,Poitrine de poulet croustillan
Placeholder 1262,Poitrine de poulet croustillant
Placeholder 1266,Poitrine de poulet grillé
Placeholder 2,Poitrine poul/croust.
Placeholder 3,Poitrine poulet croust
Placeholder 4,Poitrine poulet grillé
Placeholder 5,Poivre
Placeholder 6,Poivrons rouges
Placeholder 7,Pomme
Placeholder 8,Pommes
Placeholder 9,Port poul gr
Placeholder Sub 1,Porte-clés
Placeholder sub 2,Portez pour un Trio
Placeholder Sub 2,Portion de poulet
Placeholder sub 3,Poul Cantons jardin ***
Placeholder Sub 3,Poulet
Plain,Poulet Big Mac
Plain Bacon 'N Egg Bagel,Poulet et Filet de poisson
Plain Bacon 'N Egg Bagel Extra Value Meal,Poulet et poisson
Plain Bacon & Guacamole Bagel,Poulet grillé
Plain Bacon & Guacamole Bagel Meal,Poulet grillé avec sauce origi
Plain Bagel,Poulet grillé avec sauce originale Frank's RedHot
Plain Bagel Happy Meal,Poulet grillé bacon/sauce orig
Plain Bagel Reg CC Prod,Poulet grillé bacon/sauce originale Frank's RedHot
Plain Bagel w/ Reg CC Product,Poulet jr
Plain Bagel w/ Reg Cream Cheese McValue Meal,Poulet McCrêpes
Plain Bagel w/ Regular Cream Cheese Product,Poulet McMuffin
Plain Bagel with Regular Cream Cheese product,Poulet McMuffin sauce à l’ail
Plain Bagel with Regular Cream Cheese Product,Poulet McMuffin sauce à l’ail style Frank’s
Plain Bagl w/ Spreads,Poulet Salade
Plain Bagl w/ Spreads ***,Pourboire du livreur
Plain Bgl w/ Sprd VM ***,Poutine
Plain BLT Bagel,Poutine au Buffalo épicé crous
Plain BLT Bagel Extra Value Meal,Poutine au Buffalo grillé
Plain Egg BLT Bagel,Poutine au poulet Buffalo épicé croust
Plain Egg BLT Bagel Extra Value Meal,"Poutine au poulet Buffalo épicé croust, format classique"
Plain Sausage 'N Egg Bagel,"Poutine au poulet Buffalo épicé croust, grand format"
Plain Sausage 'N Egg Bagel Extra Value Meal,Poutine au poulet Buffalo épicé grillé
Plastic Tumbler McCafe,"Poutine au poulet Buffalo épicé grillé, format classique"
Playplace Socks,"Poutine au poulet Buffalo épicé grillé, grand format"
Pln Bgl w/Sprd VM ***,Poutine au poulet Buffalo grillé
Potato Bun,Poutine déjeuner
Poutine,"Poutine déjeuner, grand format"
Poutine and Medium Fountain Dr,"Poutine épicé croust, grand"
Poutine and Medium Fountain Drink,Poutine et boisson de fontaine
Poutine Upcharge,"Poutine et boisson de fontaine, format moyen"
Premium Decaf Coffee Carafe,Poutine nacho avec poulet croustillant
Premium Roast Brewed Coffee,"Poutine nacho avec poulet croustillant, format classique"
Premium Roast Brewed Senior's Coffee,Poutine nacho avec poulet grillé
Premium Roast Coffee,"Poutine nacho avec poulet grillé, format classique"
Premium Roast Coffee Carafe,"Poutine, grand format"
Premium Roast Coffee Carafe (Serves 12),Quart BLT
Premium Roast Decaf Coffee,Quart de livre
Premium Roast Decaf Coffee Carafe (Serves 12),Quart de livre avec fromage
Premium Roast Senior's Coffee,Quart de livre BLT
Premium Roast Senior's Decaf Coffee,Quart de livre sans fromage
Premium Sandwich,Quart fromage
PST EVM Drink Credit,Quart hamburger (sans fromage)
PST HM Drink Credit,Quart livre (sans fromage)
Pumpkin Seeds Packet,Quarter livre avec fromage
Pumpkin Spice Latte (2% Milk),Racinette Barq's
Qtr Hamb & Side Deal,Raisins et canneberges
Quarter Pounder,Ranch classique
Quarter Pounder BLT,Réchauffé
Quarter Pounder BLT Extra Value Meal,Regular Pour
Quarter Pounder Cheese,Régulière
Quarter Pounder cheese & Side deal,Remp laitue
Quarter Pounder Chs & Side deal,Remp oig rec
Quarter Pounder Extra Value Meal,Remp oig rou
Quarter Pounder with Cheese,Remplacer boisson à l’avoine
Quarter Pounder With Cheese,Remplacer par boisson à l’avoine
Quarter Pounder with Cheese Extra Value Meal,Remplacer par boisson d'amande
Quarter Pounder without Cheese,Remplacer par lait
Quarter Pounder without Cheese Extra Value Meal,Remplacer par le petit pain à ordinaire
Rainbow Sprinkle Cookie,Remplacer par pain à ordinaire
Raisins & Cranberries,Remplacer par sauce chili doux
Ranch Chicken Snack Wrap,Remplacer par sauce épicée ave
Ranch Chicken Snack Wrap with Crispy Chicken,Remplacer par sauce épicée avec habanero
Ranch Chicken Snack Wrap with Grilled Chicken,Remplacer par sauce Lime coria
Ranch Chicken Snack Wrap® with Crispy Chicken,Remplacer par sauce Lime coriandre
Ranch Chicken Snack Wrap® with Grilled Chicken,Remplacer par sauce mayonnaise
Ranch Crispy Snack Wrap,Remplir
